,title,imdbid,id,rating,year
460,"Dance, Girl, Dance",0032376,4415,3,1940
461,"Philadelphia Story, The",0032904,4943,3,1940
462,Fantasia,0032455,5039,0,1940
463,Anne Of Windy Poplars,0032211,5320,3,1940
464,Gaslight,0031359,5773,3,1940
465,"Last Alarm, The",0032690,5802,3,1940
466,Foreign Correspondent,0032484,7311,1,1940
467,"Shop Around the Corner, The",0033045,7861,3,1940
468,Knute Rockne All American,0032676,8480,1,1940
469,Two-Faced Woman,0034328,1331,2,1941
470,"Shanghai Gesture, The",0034175,1512,3,1941
471,"Maltese Falcon, The",0033870,1230,1,1941
472,Citizen Kane,0033467,1266,1,1941
473,Dumbo,0033563,1117,2,1941
474,"Little Foxes, The",0033836,1372,2,1941
475,"Lady Eve, The",0033804,1386,2,1941
476,"Devil and Miss Jones, The",0033533,1682,3,1941
477,Mr. Bug Goes to Town,0033727,1941,1,1941
478,High Sierra,0033717,2410,1,1941
479,"Wolf Man, The",0034398,2436,2,1941
480,Cheers for Miss Bishop,0033459,2446,3,1941
481,Men of Boys Town,0033902,2468,1,1941
482,49th Parallel,0033627,2867,0,1941
483,Buck Privates,0033436,2906,3,1941
484,Hold That Ghost,0033723,2910,3,1941
485,Meet John Doe,0033891,3717,3,1941
486,Sullivan&#39;s Travels,0034240,4359,3,1941
487,Murder by Invitation,0033928,6171,3,1941
488,Ladies In Retirement,0033802,6318,1,1941
489,Suspicion,0034248,7329,3,1941
490,Sun valley serenade,0034241,8625,0,1941
491,How Green Was My Valley,0033729,8983,3,1941
492,"Reluctant Dragon, The",0034091,9025,3,1941
493,King of the Zombies,0033787,9192,3,1941
494,"Major and the Minor, The",0035019,681,3,1942
495,"Now, Voyager",0035140,689,3,1942
496,Casablanca,0034583,1076,1,1942
497,"Magnificent Ambersons, The",0035015,1289,2,1942
498,Bambi,0034492,1116,1,1942
499,Son of Fury: The Story of Benjamin Blake,0035360,1388,1,1942
500,For Me and My Gal,0034746,1675,3,1942
501,I Married an Angel,0034882,1686,3,1942
502,Cat People,0034587,2708,3,1942
503,Black Dragons,0034521,3518,0,1942
504,There Was a Father,0034591,3789,0,1942
505,Tales of Manhattan,0035415,3875,2,1942
506,"Man Who Came to Dinner, The",0033874,4475,3,1942
507,Woman of the Year,0035567,4870,3,1942
508,To Be or Not to Be,0035446,5303,0,1942
509,Sherlock Holmes and the Secret Weapon,0035317,5859,1,1942
510,Saboteur,0035279,5939,1,1942
511,Mrs. Miniver,0035093,6384,3,1942
512,Saludos Amigos,0036326,7696,0,1942
513,"Corpse Vanishes, The",0034613,7697,1,1942
514,Old Acquaintance,0036230,1374,3,1943
515,Watch on the Rhine,0036515,1375,3,1943
516,Girl Crazy,0035942,1691,1,1943
517,I Walked with a Zombie,0036027,1955,3,1943
518,"Sky&#39;s the Limit, The",0036363,1959,1,1943
519,Sahara,0036323,1987,0,1943
